name,elevation,aspect,horizontal_distance_to_roadways,time_in,time_out
qekxoovo,0.589,0.556,0.807,346,1697
ubjyeiux,0.588,0.508,0.808,377,1976
yvvxqssd,0.589,0.578,0.809,844,1477
vcgdnipv,0.591,0.6,0.81,466,509
bqakxihb,0.594,0.625,0.811,893,1620
ytmvpdso,0.594,0.314,0.814,457,927
jhyaezrz,0.593,0.317,0.815,866,871
qzlasdsi,0.591,0.344,0.816,168,1731
uxrrtsnr,0.588,0.431,0.817,987,1321
zeowcdso,0.589,0.575,0.818,634,1893
pexcqrin,0.591,0.539,0.82,20,1052
mhupyquj,0.589,0.619,0.821,217,689
ggewhokv,0.594,0.669,0.822,924,1178
ofdsvhvz,0.596,0.55,0.824,885,1879
phsngchb,0.596,0.589,0.825,232,651
xqrmmwbf,0.599,0.639,0.827,608,1040
wjejsqgl,0.601,0.661,0.828,163,1688
rslsgbig,0.604,0.625,0.829,696,1460
eemthfgi,0.604,0.447,0.831,408,1559
mevrhoqf,0.603,0.436,0.832,771,1427
kgekicvm,0.603,0.336,0.834,727,1525
ojechgdp,0.598,0.294,0.835,326,957
mobttqsn,0.596,0.319,0.837,919,1249
mdjoeoaa,0.593,0.356,0.838,465,1581
otilvqlm,0.593,0.328,0.84,16,1355
satfgidu,0.589,0.261,0.842,587,1350
vhlbydkl,0.586,0.283,0.843,614,944
saocvnve,0.584,0.417,0.845,634,941
aqytygrz,0.583,0.461,0.846,954,1330
hwbbhvne,0.581,0.5,0.848,718,1205
pyyfhkvs,0.583,0.547,0.85,947,1148
absemhxj,0.584,0.597,0.851,757,1197
igfoejue,0.589,0.592,0.853,610,802
avtvagip,0.591,0.569,0.855,120,1943
yhaheghm,0.594,0.55,0.856,481,1821
dtlsvknz,0.594,0.594,0.858,966,1884
cymkqklw,0.598,0.653,0.86,249,1853
mjhormtu,0.599,0.572,0.862,582,1712
kpsjqqol,0.599,0.569,0.864,205,479
nxrqcizi,0.601,0.475,0.865,604,1560
tryzwvik,0.598,0.439,0.867,987,1447
nbuylehq,0.599,0.447,0.869,974,1723
amcwfnlm,0.596,0.489,0.871,141,1657
koqcfxsw,0.598,0.625,0.873,313,429
busfxucs,0.601,0.664,0.875,823,974
funxqtmr,0.606,0.625,0.877,40,905
dhcsqoet,0.607,0.483,0.879,494,1331
gwfbxgng,0.607,0.392,0.881,479,992
cjbgrzri,0.603,0.333,0.883,629,1394
cqtxsdjq,0.603,0.033,0.885,104,927
glgmhctx,0.601,0.958,0.886,280,1085
adzywjzn,0.604,0.942,0.888,997,1868
katorngj,0.604,0.0,0.891,665,1082
kolsxrar,0.604,0.036,0.893,841,1584
idiuwmcc,0.603,0.114,0.895,355,1565
fhqsttcq,0.599,0.164,0.897,28,653
zvusxumi,0.596,0.192,0.899,763,1232
icivpsty,0.593,0.25,0.901,232,1811
hkyerpgm,0.586,0.289,0.903,900,1978
dvbmajyz,0.581,0.328,0.905,689,1625
bgnteppn,0.576,0.375,0.907,737,937
yaxvrnqc,0.573,0.439,0.909,499,1690
rqepugyt,0.571,0.472,0.909,981,998
sxmldduf,0.571,0.486,0.905,302,335
mpyzxanu,0.571,0.531,0.901,491,996
yeuxthyv,0.573,0.508,0.897,997,1798
fkqgrhju,0.571,0.478,0.893,200,928
rxuqpnfb,0.571,0.514,0.889,463,1830
mzaugzri,0.573,0.447,0.885,726,1517
itywijht,0.57,0.353,0.881,397,497
msriavnp,0.566,0.292,0.877,750,1522
stlxaxqn,0.558,0.267,0.874,233,690
mcgslmtv,0.548,0.261,0.87,967,1575
nmfkjjws,0.537,0.278,0.866,369,1756
omrfycxm,0.529,0.311,0.862,224,1245
aofyhkgy,0.524,0.336,0.858,304,1625
hjgxyerl,0.517,0.35,0.854,172,1479
gasklfon,0.512,0.369,0.85,207,583
yjqapwki,0.507,0.392,0.846,492,1176
imtsfcrd,0.504,0.389,0.842,352,423
kesdzcte,0.499,0.356,0.839,280,910
izltsuti,0.494,0.333,0.835,737,1130
mxwnajqs,0.493,0.925,0.831,819,1552
nfzbmpwr,0.496,0.9,0.827,871,1816
yojayljm,0.498,0.947,0.823,122,956
dczwfzdt,0.498,0.928,0.819,782,812
ljlolvng,0.499,0.85,0.815,531,1716
ooynwyat,0.504,0.875,0.811,570,1890
uhmagoiu,0.506,0.906,0.808,184,1089
izgwurto,0.509,0.9,0.804,349,887
fwewgqmd,0.512,0.894,0.8,600,1083
abohivhq,0.517,0.892,0.796,497,888
csfwoozh,0.522,0.894,0.792,173,1477
jsicrmvr,0.527,0.903,0.788,68,1507
ebszgdco,0.532,0.922,0.785,982,1771
tobdauim,0.535,0.944,0.781,835,1354
mbujrixx,0.537,0.936,0.777,987,1742
bofgoont,0.54,0.889,0.773,977,1716
uommietn,0.545,0.858,0.769,438,1083
nweyunrk,0.548,0.853,0.765,653,1549
vnhfkohn,0.552,0.856,0.762,820,1400
sjerqlpm,0.555,0.864,0.758,313,1444
kmhcpsto,0.558,0.875,0.754,404,1268
toygafbh,0.56,0.875,0.75,630,1519
iaxmxyvd,0.562,0.875,0.747,920,1280
ijwhalqy,0.563,0.894,0.743,798,1211
dwtqihiy,0.565,0.947,0.739,794,1724
boyfieze,0.565,0.944,0.735,815,1946
xyoieydo,0.566,0.939,0.731,479,1443
sezyzdou,0.568,0.95,0.728,7,766
ypcsvdaz,0.57,0.975,0.724,507,638
uuocqgyc,0.57,0.981,0.72,131,309
lnioasoa,0.571,0.003,0.716,3,167
dbopgnta,0.57,0.028,0.713,174,1681
dnakobou,0.57,0.964,0.709,615,1621
zacvexzh,0.571,0.094,0.705,778,869
vjfssyen,0.568,0.222,0.701,761,1041
ewfhqirt,0.566,0.267,0.698,83,1378
rymoaxwf,0.565,0.289,0.694,107,1455
cyrulkdf,0.562,0.308,0.69,671,1205
lwkshnpk,0.562,0.286,0.687,334,1628
bsathivo,0.558,0.25,0.683,670,1449
tlhcywst,0.555,0.25,0.679,341,922
wsugcqfb,0.555,0.314,0.676,498,1074
cceakxil,0.555,0.375,0.672,395,1692
ynvqcpvt,0.552,0.375,0.668,643,1642
ybvemgzp,0.55,0.389,0.664,444,1660
bgahxsyw,0.548,0.336,0.661,478,1604
tqztfaes,0.543,0.314,0.657,44,1344
ubeveqjl,0.54,0.308,0.654,813,1448
ekkopxqv,0.535,0.286,0.65,363,365
zorfxmuc,0.53,0.261,0.646,156,1366
ywyxjedb,0.524,0.244,0.643,861,1710
wlkkwmbe,0.519,0.214,0.639,991,1225
qlscetnh,0.519,0.069,0.635,173,891
snlucyrn,0.519,0.025,0.632,721,1205
ochaadzx,0.519,0.969,0.628,214,1341
hyekxzjk,0.521,0.897,0.625,955,1794
hhbgsjsv,0.522,0.892,0.621,705,853
cfthzdty,0.524,0.914,0.618,701,1121
mxxycdzb,0.525,0.886,0.614,825,1192
qmwgptne,0.529,0.872,0.61,128,998
rkwnmvot,0.532,0.011,0.607,663,1213
czfcuoot,0.529,0.039,0.603,210,1127
yjogjbnx,0.53,0.994,0.6,703,1310
lkmxrjen,0.529,0.05,0.596,424,1500
tubwfgdx,0.529,0.131,0.593,511,940
srvonmsu,0.525,0.147,0.589,912,1365
pcxpjjyz,0.525,0.167,0.586,533,855
wuvyuxlq,0.522,0.197,0.582,801,859
wjjhhoca,0.521,0.147,0.579,99,1921
hysdzwjl,0.519,0.103,0.575,890,1811
ksgpjztx,0.517,0.069,0.572,652,1839
bvfgjwse,0.516,0.078,0.568,906,1320
jislhotl,0.516,0.103,0.565,512,1834
lqtaodic,0.514,0.036,0.562,104,1765
mrqhcopf,0.514,0.044,0.558,696,1182
blhyuqsk,0.514,0.103,0.555,708,1000
liiqyowe,0.512,0.181,0.551,971,1595
wageahyk,0.509,0.142,0.548,760,1373
qkcrnfzj,0.509,0.125,0.545,491,552
mbmxjjwb,0.506,0.2,0.541,381,1791
zfvbjkvn,0.504,0.261,0.538,108,493
zmayhfta,0.501,0.292,0.535,297,493
vxepkdyc,0.494,0.306,0.531,322,1294
uqainqmm,0.491,0.311,0.528,856,884
pizcgqwg,0.489,0.228,0.525,988,1527
thrjfvif,0.486,0.153,0.521,637,985
npfztjhn,0.484,0.053,0.518,299,847
mnsauovd,0.484,0.964,0.515,642,1195
aajipxrr,0.486,0.908,0.512,226,457
tkjdrlbv,0.489,0.919,0.508,555,1665
vzlanchp,0.491,0.925,0.505,781,1963
mnmvkonu,0.493,0.964,0.502,593,1780
uytvzrkg,0.493,0.086,0.499,940,1891
mejequjt,0.489,0.089,0.496,942,1655
cpnxrbjn,0.488,0.0,0.492,962,1612
ayldxzbv,0.489,0.994,0.489,270,1267
shazromi,0.489,0.075,0.486,54,1292
inzqgmdu,0.486,0.064,0.483,416,1760
ytdnvfch,0.486,0.081,0.48,708,1008
kjkjniwf,0.483,0.047,0.477,380,1274
xehwbnms,0.484,0.006,0.474,395,684
khvgvftl,0.483,0.047,0.471,155,836
otxrocjs,0.481,0.067,0.468,933,988
lfcgrbnm,0.479,0.064,0.465,45,1227
bvbejekw,0.478,0.078,0.462,366,960
vhcvkcrp,0.475,0.122,0.459,246,406
oolangtl,0.472,0.139,0.456,1,1065
munybjgm,0.471,0.156,0.453,245,989
cjnvfvsa,0.47,0.206,0.45,557,1827
dptnzluc,0.467,0.211,0.448,501,515
bxzykfca,0.465,0.169,0.445,852,1925
ryqtcakt,0.464,0.147,0.442,156,1668
ysmorxuv,0.462,0.125,0.439,17,1983
cudtqwdg,0.461,0.094,0.436,182,341
zrntlnyt,0.46,0.997,0.433,743,1101
yxgzwlnv,0.461,0.989,0.431,589,1106
rhnzkhqc,0.459,0.986,0.428,261,1515
fcnwarst,0.461,0.931,0.425,46,164
qtdiyjcp,0.46,0.139,0.423,170,1123
vanyzwtz,0.459,0.175,0.42,705,1798
nrobdjgm,0.458,0.15,0.417,78,298
smhrxmiv,0.457,0.156,0.415,564,1429
wcxhkcao,0.455,0.161,0.412,5,333
uupguteb,0.454,0.133,0.41,759,1863
arntwpwv,0.451,0.111,0.407,14,242
fxphhxsc,0.45,0.017,0.402,369,1016
gnctjtlo,0.451,0.103,0.4,381,1498
liktgaus,0.449,0.164,0.397,114,1815
kplhrhpr,0.446,0.153,0.395,971,1646
cnpkpvkf,0.444,0.206,0.393,720,1488
olwhsvns,0.442,0.261,0.39,907,1641
iodcgbwp,0.441,0.239,0.388,136,1606
ocemkivm,0.441,0.169,0.386,536,1592
jzfulufm,0.441,0.225,0.384,118,1852
fbvqxhbo,0.439,0.269,0.382,184,1355
wyehsgyf,0.437,0.319,0.38,51,476
sdmquheq,0.435,0.364,0.378,584,1876
ybrjaqiy,0.433,0.367,0.375,644,1883
sewpsqos,0.431,0.356,0.371,299,1080
ohnbifac,0.427,0.339,0.367,465,894
bafilbbi,0.423,0.344,0.363,685,705
iuapacrz,0.421,0.325,0.358,891,1703
odupftjo,0.417,0.239,0.354,542,1888
yaghxqyv,0.416,0.008,0.35,502,1654
rwnxfesn,0.418,0.919,0.346,410,1142
fxqbasty,0.421,0.964,0.342,60,574
nixpodhy,0.42,0.025,0.338,118,1263
mhnmuqww,0.419,0.994,0.333,223,1118
hxyclcur,0.42,0.942,0.329,157,833
xygbrojw,0.422,0.933,0.325,205,1767
tpnxxyem,0.423,0.917,0.321,989,1278
nnobybsr,0.426,0.964,0.317,574,710
xvdraymp,0.425,0.044,0.312,479,559
rtdicasg,0.423,0.017,0.308,567,728
kcsjmsct,0.424,0.958,0.304,947,1422
xzprtidn,0.425,0.919,0.3,592,1159
hcydgmyh,0.425,0.844,0.296,101,110
vckpexlu,0.426,0.825,0.292,297,1851
ioadnxja,0.426,0.775,0.288,152,1817
jwakexap,0.428,0.758,0.284,116,181
yfbphkdn,0.428,0.7,0.279,957,1991
tneyzvmq,0.429,0.608,0.275,133,992
fbcrarjc,0.428,0.414,0.271,57,952
ejxpwdge,0.428,0.347,0.267,989,1113
izxmvoyy,0.427,0.469,0.263,778,1411
mupsrxrk,0.431,0.744,0.255,451,1569
lckfxiey,0.432,0.625,0.251,395,1224
sjkntbtx,0.431,0.211,0.246,676,1646
iaaxroit,0.431,0.125,0.242,162,236
detxvulj,0.43,0.825,0.238,161,388
qorwmcvz,0.432,0.8,0.234,353,1944
chiurobi,0.432,0.794,0.23,924,1250
nffuuyon,0.434,0.85,0.226,30,1763
hsuakzdy,0.434,0.061,0.222,859,1953
lwpkcqjf,0.433,0.992,0.218,874,904
rtrmjswz,0.434,0.031,0.214,135,1017
unklleba,0.433,0.236,0.21,413,1064
xcyfxwtw,0.431,0.225,0.206,356,955
qkfjzauw,0.427,0.228,0.201,354,1321
fbxcezjo,0.421,0.236,0.197,189,1162
skgjhwni,0.417,0.253,0.193,930,1731
ldybvgeq,0.413,0.283,0.189,327,402
pjjroygi,0.41,0.308,0.185,357,965
qrnlquql,0.407,0.306,0.181,118,1121
jtoezffm,0.403,0.275,0.177,659,1703
jbagchla,0.399,0.239,0.173,13,1083
nmwuqaoz,0.395,0.231,0.169,638,1002
ifacbfiz,0.392,0.242,0.165,243,1450
jpiyrnja,0.389,0.258,0.161,426,427
xoepvkxt,0.384,0.269,0.157,178,1558
iqudryyy,0.378,0.272,0.153,632,1011
mvtzlmuj,0.373,0.269,0.15,812,1392
ufmpeqsn,0.369,0.264,0.146,385,409
ajrjayht,0.365,0.261,0.142,611,1335
orskbdyj,0.362,0.25,0.138,723,1630
rzzbrkwy,0.359,0.219,0.134,278,735
dackvcjp,0.356,0.181,0.13,926,1301
duajdpvo,0.355,0.136,0.126,793,1260
kozceiwb,0.353,0.144,0.123,348,1797
ifoezolc,0.35,0.103,0.119,113,238
uqoefobv,0.349,0.028,0.115,887,1991
nvsqpppo,0.349,0.119,0.111,531,766
cjvdlafg,0.346,0.169,0.108,908,1142
kuqukzki,0.344,0.147,0.104,794,1634
eylvpdzc,0.341,0.15,0.101,584,1569
chowglmj,0.34,0.167,0.097,388,1987
ypfkqngj,0.339,0.144,0.094,993,1280
etrddlxn,0.338,0.175,0.09,744,969
hoaajweg,0.336,0.197,0.087,379,570
malfvzcf,0.334,0.186,0.084,188,1705
mdelpkxf,0.333,0.242,0.081,688,922
dlazzihy,0.33,0.317,0.078,292,1211
lnpzkqxx,0.327,0.383,0.075,95,674
rrblrmaq,0.326,0.403,0.072,330,586
mdzezpjc,0.325,0.344,0.069,113,309
kzudtmuo,0.685,0.169,0.598,724,1072
iksdytki,0.683,0.061,0.6,942,974
sxfmtznv,0.685,0.042,0.601,469,1844
gkryopns,0.683,0.244,0.603,476,1931
gjxnbebc,0.681,0.375,0.605,609,1612
kwcpdlvc,0.681,0.35,0.607,351,1364
fusztgqj,0.678,0.294,0.609,948,1479
imlyegbt,0.675,0.281,0.611,191,1420
eluydikb,0.673,0.303,0.613,994,1427
bzocnnty,0.67,0.369,0.615,338,930
xhezoztb,0.67,0.406,0.617,124,497
xbildmdu,0.666,0.375,0.619,467,1134
fzrrvfro,0.665,0.431,0.621,193,1785
aexzjjbs,0.665,0.45,0.623,9,144
rzomzndv,0.663,0.375,0.625,807,1122
ymsvnily,0.662,0.406,0.628,718,762
bunrisbm,0.662,0.356,0.63,215,1092
nwrcayjm,0.658,0.353,0.632,41,1129
tafhdoku,0.657,0.392,0.634,632,1902
ayecymxy,0.655,0.406,0.636,447,1436
zgdjlkag,0.655,0.381,0.638,716,1154
pwqvqszf,0.652,0.325,0.641,791,1105
aocrsgml,0.648,0.314,0.643,448,782
arftiusa,0.645,0.297,0.645,440,1365
pccoyspo,0.64,0.289,0.648,514,1742
hthvsxwu,0.64,0.258,0.65,157,650
dtjcwxrd,0.639,0.922,0.652,682,1404
vgjoyynw,0.64,0.864,0.655,923,1688
nzspfhbx,0.642,0.919,0.657,290,1523
lqsbtfsq,0.644,0.069,0.66,503,1992
lafnbtba,0.64,0.125,0.662,180,1108
vytfreqg,0.635,0.081,0.664,909,1990
mepetmpr,0.635,0.047,0.667,968,1923
khlxzuju,0.634,0.089,0.669,280,1494
cgmftbti,0.63,0.081,0.672,460,1503
edzeovxu,0.629,0.083,0.674,796,1009
rjniehdl,0.625,0.086,0.677,94,1149
nqvefqqc,0.624,0.022,0.679,255,612
hlxfdwzt,0.625,0.011,0.685,134,279
uxpuiiqt,0.624,0.05,0.687,78,567
lgpaeufb,0.623,0.064,0.69,636,1052
ucnmlttj,0.622,0.047,0.693,992,1476
xwyhkwdl,0.621,0.047,0.695,630,631
xbchnjtz,0.619,0.069,0.698,455,542
vanqhfse,0.617,0.094,0.701,421,1606
rgagzahd,0.613,0.114,0.703,215,846
rwxtosiy,0.609,0.125,0.706,691,906
olmepjft,0.605,0.142,0.709,157,550
fxonhvwf,0.6,0.158,0.711,303,540
tkvcykph,0.594,0.164,0.714,473,1769
tzhsjncw,0.588,0.161,0.717,346,1621
ybxbmymw,0.581,0.153,0.72,794,1937
xuukssib,0.576,0.139,0.722,92,1442
ansppqxm,0.571,0.125,0.725,412,624
uuzuixts,0.567,0.108,0.728,605,645
dehfsgcs,0.565,0.103,0.731,796,1609
gmevlzcl,0.562,0.106,0.734,267,1048
mtyquupa,0.558,0.108,0.737,176,1580
rlmelhvc,0.555,0.992,0.74,108,1770
zuymhzik,0.558,0.922,0.742,144,1632
cxqrpwvq,0.56,0.131,0.745,542,619
nqexygys,0.555,0.217,0.748,958,1802
ftpfvidm,0.552,0.253,0.751,878,1610
zjvwxsmc,0.548,0.419,0.754,125,374
zdymblwm,0.55,0.583,0.757,149,629
bpiqpmzl,0.552,0.606,0.76,668,741
wlwdbrsk,0.555,0.564,0.763,254,842
gaqwyqze,0.553,0.419,0.766,560,1706
aouigzgn,0.552,0.483,0.769,726,1830
ibierouf,0.552,0.533,0.772,883,1364
uizonwqq,0.553,0.6,0.775,592,1764
mkcpxijg,0.557,0.658,0.778,318,1899
imhygyoz,0.56,0.608,0.781,331,602
mklffvnj,0.56,0.478,0.784,241,1037
brbuzcps,0.56,0.633,0.785,944,1114
zkwuesgv,0.562,0.653,0.786,183,1453
hmrynxkm,0.563,0.642,0.787,90,182
ecwburol,0.568,0.636,0.788,585,1155
zhoqckwh,0.57,0.594,0.789,458,1632
gwnqdvan,0.571,0.553,0.79,252,536
pzbcseok,0.571,0.525,0.791,830,1110
mkufttji,0.573,0.508,0.792,268,869
ahpagkwe,0.571,0.478,0.793,995,1571
dxeqejns,0.571,0.5,0.794,717,1079
oiaibdkx,0.571,0.508,0.795,614,1798
xwishkow,0.571,0.528,0.796,705,1512
uqevmwzg,0.573,0.6,0.798,550,857
pqjddcus,0.576,0.642,0.799,630,669
zzyyovnx,0.581,0.614,0.799,674,1176
nxtmceqq,0.581,0.514,0.8,375,1047
tkqkkisp,0.581,0.592,0.802,554,1658
ftlugxci,0.586,0.558,0.803,719,1571
lycfbbyz,0.584,0.5,0.804,347,931
xqdnhzth,0.586,0.614,0.805,391,620
cuigcoau,0.589,0.636,0.806,472,1811
jwakmfcm,0.591,0.625,0.807,139,1904
uptzggdv,0.594,0.544,0.808,297,468
rchdkerk,0.593,0.417,0.809,844,1377
ysagtijf,0.593,0.375,0.811,451,1061
uveiyppi,0.589,0.353,0.812,723,1899
xohhzhjt,0.586,0.422,0.813,325,1029
jbkkfpal,0.586,0.55,0.815,649,1555
jdfjjdjr,0.588,0.575,0.816,167,223
hyvaefak,0.589,0.639,0.817,589,1090
yolqfpvn,0.593,0.625,0.818,67,269
wqvvvgbb,0.594,0.511,0.82,596,1860
fqngjrei,0.593,0.558,0.821,541,712
eslqjxsz,0.596,0.614,0.823,502,1620
ocmqhwhp,0.599,0.592,0.824,771,1595
lfdvkuuo,0.601,0.561,0.825,156,1768
uatzetgs,0.601,0.492,0.827,580,1272
zzvjbybs,0.599,0.5,0.828,12,696
rgsnpcpx,0.601,0.356,0.83,877,1555
uqxsepih,0.598,0.264,0.831,778,968
ngkonavf,0.596,0.261,0.833,736,1096
yltdbwee,0.593,0.303,0.834,43,1780
exxqifcp,0.591,0.353,0.836,361,1005
ifsmlivi,0.589,0.333,0.838,651,1291
rwhohtoz,0.588,0.283,0.839,183,1984
zbzdppnz,0.583,0.278,0.841,259,1294
usyxijvp,0.58,0.325,0.842,528,1249
igjgvflo,0.58,0.469,0.844,122,1174
utskknwj,0.58,0.625,0.846,415,549
qjrvekiq,0.583,0.653,0.847,138,476
rjnfmtci,0.586,0.6,0.849,942,1732
izeqgfdb,0.586,0.586,0.851,431,448
xglovgdy,0.589,0.6,0.853,707,1802
lkzrzehd,0.591,0.6,0.854,25,289
zwbvfnkf,0.594,0.6,0.856,795,1448
nsccksbk,0.596,0.536,0.858,447,550
eqvsrryo,0.596,0.542,0.86,335,1395
lxgnpsvg,0.598,0.5,0.862,426,1163
kgszlugi,0.596,0.425,0.863,86,514
ffzcyfbq,0.594,0.422,0.865,102,313
tniuzdlr,0.593,0.511,0.867,173,998
zflicpnc,0.596,0.625,0.869,661,1887
vosrvjvu,0.599,0.644,0.871,896,1148
zqwfvnlp,0.604,0.606,0.873,686,1678
dclrpxus,0.603,0.486,0.875,939,1720
wdxnpkys,0.601,0.444,0.877,961,1816
timovbxi,0.601,0.792,0.879,172,660
rhnloyrg,0.604,0.894,0.881,687,1100
wkjoyszv,0.606,0.922,0.883,579,720
ecgealuj,0.607,0.936,0.885,157,524
gfgkrsau,0.607,0.014,0.887,433,1827
crybwmpq,0.607,0.089,0.889,434,1562
fhbozllt,0.606,0.169,0.891,436,880
ifyagcie,0.601,0.192,0.893,505,1140
uetxajvt,0.598,0.206,0.895,712,1643
wuashcuu,0.593,0.233,0.897,917,937
ymthexuv,0.584,0.256,0.899,427,1128
yydffpgt,0.578,0.289,0.902,607,1279
oegmufkv,0.571,0.336,0.904,323,1436
rklxvrvd,0.568,0.414,0.906,377,822
maivujtp,0.568,0.453,0.908,306,1173
odvarecc,0.566,0.475,0.906,244,1082
vygzjcae,0.568,0.511,0.902,582,1795
fgcotaiq,0.568,0.492,0.899,185,830
oydpvqsw,0.568,0.494,0.895,228,1457
mahvairv,0.568,0.528,0.891,554,1623
zysuxqbx,0.566,0.392,0.883,209,276
xblnpxrt,0.563,0.35,0.879,165,1061
apigagff,0.555,0.331,0.875,734,850
yppzebgb,0.547,0.306,0.871,419,1604
ewdqzrwm,0.535,0.292,0.867,454,633
enaujmpz,0.525,0.306,0.863,358,1484
hfdsixjv,0.519,0.333,0.86,868,974
pmgrnlwx,0.512,0.353,0.856,181,329
ypavnlji,0.506,0.369,0.852,187,537
doruvmbc,0.501,0.392,0.848,981,1114
xellnnlo,0.498,0.406,0.844,676,1786
umyguesj,0.496,0.358,0.84,895,1356
mogfivmp,0.494,0.125,0.836,462,730
fydidmjd,0.496,0.875,0.833,747,983
oxhgrlyg,0.499,0.861,0.829,38,1078
lmjkphcr,0.501,0.917,0.825,190,789
oywwijlq,0.501,0.925,0.821,57,586
ykifttpc,0.502,0.861,0.817,466,1473
qvgdhwav,0.507,0.864,0.813,635,1060
fnbczagy,0.509,0.892,0.809,940,1174
kkaozajw,0.514,0.897,0.806,759,1426
zapnqjnb,0.519,0.894,0.802,250,1609
amltmejp,0.524,0.889,0.798,545,1329
vxhxihkd,0.529,0.894,0.794,252,755
xbexvldd,0.535,0.903,0.79,275,1107
xzooenuk,0.54,0.933,0.786,252,351
mvvhxgwo,0.542,0.975,0.782,586,1596
qghiaoku,0.543,0.969,0.779,646,699
zvcvwplp,0.545,0.931,0.775,976,1731
geddqjaq,0.548,0.908,0.771,872,1444
hnglcdwg,0.55,0.875,0.767,632,1544
ynxfweey,0.553,0.828,0.764,242,1440
kpbdbonv,0.558,0.819,0.76,665,1114
uzpvswjj,0.56,0.833,0.756,732,1296
jccqqzzu,0.562,0.853,0.752,614,875
nragqgzd,0.563,0.875,0.748,777,1960
eqsgojgk,0.565,0.894,0.745,605,1246
nfsrayxh,0.566,0.919,0.741,86,1273
ymepkqtq,0.568,0.919,0.737,198,1525
kkbwjofm,0.571,0.928,0.733,55,1906
yfguvirg,0.573,0.942,0.73,592,1408
manrmamt,0.575,0.975,0.726,278,1147
sdeoxube,0.575,0.0,0.722,536,1017
tqchhhdg,0.575,0.036,0.718,921,1278
qvqanhrp,0.573,0.089,0.715,363,829
anuwwtdz,0.571,0.067,0.711,419,875
hzagsqoy,0.571,0.211,0.707,593,840
fcdwafci,0.568,0.25,0.703,90,1136
tvfuemxm,0.566,0.25,0.7,371,1583
suvkuxwt,0.563,0.25,0.696,666,1367
xncffiuo,0.56,0.283,0.692,210,1236
ekjtqjvx,0.56,0.375,0.689,876,1284
weawhequ,0.56,0.214,0.685,205,634
spmyruit,0.557,0.181,0.681,380,893
mhozahys,0.555,0.228,0.678,16,717
vcyovrht,0.552,0.292,0.674,117,1890
rvftojfr,0.55,0.308,0.67,137,1738
kbcbjurg,0.547,0.344,0.667,791,1287
cnwrjbzb,0.547,0.286,0.663,27,325
snkobllt,0.542,0.272,0.659,813,1138
rcguhirb,0.539,0.281,0.656,161,658
mdsrjlda,0.534,0.269,0.652,965,1821
wkptnbyz,0.53,0.25,0.648,587,1268
yzvynwfg,0.525,0.206,0.645,944,1707
bmnfyjam,0.522,0.106,0.641,224,1621
pdrcmuxr,0.521,0.047,0.638,986,1658
dtupuqrx,0.521,0.0,0.634,906,1748
qhvrqsue,0.521,0.978,0.63,266,498
hbyqfzde,0.521,0.875,0.627,931,1347
ezujoivd,0.524,0.833,0.623,1,1840
zzhetzfj,0.527,0.886,0.62,569,1256
dtkxorhn,0.529,0.9,0.616,825,971
swxxxmiy,0.532,0.864,0.613,70,1693
iyilspid,0.535,0.025,0.609,550,1801
vakszfuv,0.532,0.133,0.606,880,979
lxrpomhv,0.532,0.086,0.602,418,1981
pczbsltj,0.53,0.164,0.599,730,1238
mloaysah,0.53,0.183,0.595,424,440
tczkqtii,0.527,0.189,0.592,292,866
znszfduo,0.525,0.222,0.588,711,971
vxqogjlk,0.522,0.236,0.585,860,1738
hhkhwjrg,0.521,0.125,0.581,350,537
ibtodaqv,0.521,0.064,0.578,927,1028
qftoftxz,0.521,0.081,0.574,158,444
kgluopwn,0.519,0.108,0.571,418,1767
facuejox,0.516,0.067,0.568,742,1801
yqchaqkb,0.517,0.006,0.564,401,986
klutttcg,0.517,0.125,0.561,723,1797
xmyfnjkg,0.514,0.217,0.557,772,1212
dtjnsdzu,0.512,0.25,0.554,54,838
ositiiaz,0.509,0.25,0.551,632,1209
rmloiwiq,0.511,0.181,0.547,393,1627
pyklxhys,0.507,0.203,0.544,975,1513
lxvnwqqv,0.504,0.231,0.541,486,523
ypeydjgm,0.499,0.244,0.537,110,862
vykieohm,0.494,0.228,0.534,27,746
eruzbyiv,0.491,0.189,0.531,349,690
iqxfwahv,0.491,0.167,0.527,369,1627
rhobzioz,0.488,0.106,0.524,275,1247
cjwqedja,0.488,0.003,0.521,465,761
pnwxlape,0.488,0.953,0.518,383,1532
fgzfvxoj,0.489,0.903,0.514,295,464
zyfylsvt,0.493,0.908,0.511,993,1677
tsofytdf,0.494,0.911,0.508,371,1394
fnqejnad,0.498,0.986,0.505,584,739
hwhrmgfe,0.494,0.1,0.502,979,1613
gglzsues,0.493,0.069,0.499,978,1727
sxeymghj,0.493,0.0,0.495,17,191
fmlzlqwi,0.493,0.017,0.492,468,470
copsazgo,0.491,0.081,0.489,292,791
wttmxjrc,0.489,0.064,0.486,571,1403
lzwhxgeg,0.488,0.075,0.483,407,557
rqcufhnt,0.486,0.008,0.48,498,1803
sbvgxyul,0.488,0.978,0.477,46,91
yysgssyf,0.487,0.053,0.474,719,1130
ryfrcgzo,0.485,0.083,0.471,860,1030
bmizmzhx,0.483,0.089,0.468,339,406
fuijhsbp,0.481,0.106,0.465,792,1763
udaosjdg,0.478,0.156,0.462,199,1998
wnlmfsdp,0.474,0.189,0.459,824,1324
